,Timestamp,outdoor air temperature (F),humidity,windspeed,cloudcover,solar irradiance on PV panels (Watt per m^2),building total power consumption (Watts),freezer power consumption (Watts),refrigerator power consumption (Watts),refrigerator fan power consumption (Watts),west air conditioning power consumption (Watts),east air conditioning power consumption (Watts),total power consumption (Watts),Better Timestamp,date,time,month,12-hr-time
5661,2021-02-28 23:15:00,44.01,79.0,3.68,0.2,0.0,31947.935546875,3669.362060546875,11.52324390411377,459.389404296875,373.3124084472656,873.1137084960938,37334.63637256622,2021-02-28 23:15:00,2021-02-28,23:15:00,2,11:15pm
5662,2021-02-28 23:30:00,43.9,79.0,3.9,0.16,0.0,29058.55859375,3664.618896484375,11.245346069335938,458.1893615722656,373.8345336914063,,,2021-02-28 23:30:00,2021-02-28,23:30:00,2,11:30pm
5663,2021-02-28 23:45:00,43.5,80.0,3.82,0.21,0.0,37260.1953125,3811.566650390625,4210.18896484375,462.16497802734375,374.3283996582031,871.5355834960938,46989.979888916016,2021-02-28 23:45:00,2021-02-28,23:45:00,2,11:45pm
5664,2021-03-01 00:00:00,43.43,80.0,3.9,0.18,0.0,32448.982421875,3749.2470703125,14.875364303588867,459.7481384277344,373.20947265625,867.765380859375,37913.82784843445,2021-03-01 00:00:00,2021-03-01,00:00:00,3,12:00am
5665,2021-03-01 00:15:00,43.37,79.0,3.95,0.16,0.0,,,14.525074005126951,458.8313598632813,,,,2021-03-01 00:15:00,2021-03-01,00:15:00,3,12:15am
5666,2021-03-01 00:30:00,43.3,79.0,3.98,0.14,0.0,35485.40234375,3738.68212890625,4088.816650390625,462.4607849121094,373.8759460449219,870.2706298828125,45019.50848388672,2021-03-01 00:30:00,2021-03-01,00:30:00,3,12:30am
5667,2021-03-01 00:45:00,42.85,80.0,4.19,0.12,0.0,39012.140625,3733.04541015625,4213.04443359375,462.6013793945313,374.1824035644531,868.4314575195312,48663.445709228516,2021-03-01 00:45:00,2021-03-01,00:45:00,3,12:45am
5668,2021-03-01 01:00:00,42.88,80.0,4.28,0.12,0.0,,,,,,,,2021-03-01 01:00:00,2021-03-01,01:00:00,3,01:00am
5669,2021-03-01 01:15:00,43.09,79.0,4.37,0.13,0.0,35495.5234375,127.08212280273438,4254.80029296875,462.2425842285156,372.6890258789063,868.9802856445312,41581.31774902344,2021-03-01 01:15:00,2021-03-01,01:15:00,3,01:15am
5670,2021-03-01 01:30:00,43.28,78.0,4.61,0.15,0.0,37018.75390625,3839.935546875,3574.296142578125,463.1971740722656,372.7498168945313,871.7111206054688,46140.64370727539,2021-03-01 01:30:00,2021-03-01,01:30:00,3,01:30am
5671,2021-03-01 01:45:00,43.59,77.0,4.66,0.18,0.0,36997.21875,,,,373.5030822753906,869.3460083007812,,2021-03-01 01:45:00,2021-03-01,01:45:00,3,01:45am
5672,2021-03-01 02:00:00,43.77,76.0,4.77,0.19,0.0,32571.400390625,302.06494140625,4240.5556640625,246.47091674804688,372.4226989746094,870.2576904296875,38603.172302246094,2021-03-01 02:00:00,2021-03-01,02:00:00,3,02:00am
5673,2021-03-01 02:15:00,43.8,76.0,4.55,0.16,0.0,36278.77734375,3703.39013671875,4196.587890625,462.5531311035156,372.9342651367188,870.2556762695312,45884.498443603516,2021-03-01 02:15:00,2021-03-01,02:15:00,3,02:15am
5674,2021-03-01 02:30:00,44.21,75.0,4.35,0.18,0.0,36782.13671875,3661.103515625,4255.150390625,50.01713562011719,373.7447204589844,869.4638061523438,45991.616287231445,2021-03-01 02:30:00,2021-03-01,02:30:00,3,02:30am
5675,2021-03-01 02:45:00,44.13,75.0,4.08,0.18,0.0,36243.80078125,3698.9931640625,4232.681640625,246.3513641357422,373.8995971679688,871.6525268554688,45667.37907409668,2021-03-01 02:45:00,2021-03-01,02:45:00,3,02:45am
5676,2021-03-01 03:00:00,43.92,75.0,3.83,0.18,0.0,36892.9140625,3700.002685546875,4257.2802734375,268.1553039550781,374.1438903808594,869.4962768554688,46361.99249267578,2021-03-01 03:00:00,2021-03-01,03:00:00,3,03:00am
5677,2021-03-01 03:15:00,43.92,75.0,3.85,0.18,0.0,35616.52734375,3698.385986328125,4190.828125,467.50006103515625,374.1922912597656,868.8572998046875,45216.291107177734,2021-03-01 03:15:00,2021-03-01,03:15:00,3,03:15am
5678,2021-03-01 03:30:00,43.87,75.0,3.92,0.18,0.0,30297.21484375,3685.988525390625,6.922964096069336,248.4387969970703,373.827880859375,871.89794921875,35484.29096031189,2021-03-01 03:30:00,2021-03-01,03:30:00,3,03:30am
5679,2021-03-01 03:45:00,43.73,75.0,4.13,0.19,0.0,,3689.3330078125,15.495980262756348,462.71044921875,,,,2021-03-01 03:45:00,2021-03-01,03:45:00,3,03:45am
